elapsed_sec,policy_version,last_batch_reward_mean,rolling_reward_mean,last_batch_steps,last_batch_trajectories
178.34,190,231.859375,212.60061755136815,29802,128
179.38,191,220.953125,213.43586829623135,28408,128
180.38,191,220.953125,213.43586829623135,28408,128
181.41,192,220.765625,214.16884396660822,28384,128
182.42,192,220.765625,214.16884396660822,28384,128
183.44,193,235.2265625,216.27461581994743,30234,128
184.44,193,235.2265625,216.27461581994743,30234,128
185.47,194,228.109375,217.45809173795269,29322,128
186.48,194,228.109375,217.45809173795269,29322,128
187.51,195,226.7734375,218.38962631415743,29153,128
188.51,195,226.7734375,218.38962631415743,29153,128
189.55,196,237.6953125,220.32019493274169,30551,128
190.55,196,237.6953125,220.32019493274169,30551,128
191.59,197,222.3203125,220.52020668946753,28581,128
192.65,197,222.3203125,220.52020668946753,28581,128
193.67,198,246.546875,223.12287352052078,31680,128
194.80,198,246.546875,223.12287352052078,31680,128
195.84,199,249.0390625,225.71449241846872,31999,128
196.94,199,249.0390625,225.71449241846872,31999,128
197.98,200,223.7109375,225.51413692662186,28761,128
199.07,200,223.7109375,225.51413692662186,28761,128
200.09,201,243.625,227.3252232339597,31303,128
201.14,201,243.625,227.3252232339597,31303,128
202.17,202,243.359375,228.92863841056374,31272,128
203.22,202,243.359375,228.92863841056374,31272,128
204.26,203,240.7578125,230.11155581950737,30940,128
205.36,203,240.7578125,230.11155581950737,30940,128
206.39,204,246.3671875,231.73711898755664,31658,128
207.51,204,246.3671875,231.73711898755664,31658,128
208.56,205,231.8671875,231.75012583880098,29803,128
209.59,205,231.8671875,231.75012583880098,29803,128
210.62,206,248.1953125,233.3946445049209,31889,128
211.63,206,248.1953125,233.3946445049209,31889,128
212.65,206,248.1953125,233.3946445049209,31889,128
213.70,207,260.8984375,236.14502380442883,33515,128
214.74,207,260.8984375,236.14502380442883,33515,128
215.80,208,237.203125,236.25083392398597,30487,128
216.86,208,237.203125,236.25083392398597,30487,128
217.91,209,253.3984375,237.96559428158739,32556,128
218.97,209,253.3984375,237.96559428158739,32556,128
220.00,210,246.03125,238.77215985342866,31614,128
221.01,210,246.03125,238.77215985342866,31614,128
222.05,211,242.484375,239.14338136808578,31161,128
223.05,211,242.484375,239.14338136808578,31161,128
224.11,211,242.484375,239.14338136808578,31161,128
225.14,212,259.03125,241.1321682312772,33278,128
226.19,212,259.03125,241.1321682312772,33278,128
227.22,213,247.078125,241.7267639081495,31750,128
228.25,213,247.078125,241.7267639081495,31750,128
229.28,214,258.890625,243.44315001733455,33258,128
230.30,214,258.890625,243.44315001733455,33258,128
231.33,215,252.3125,244.33008501560107,32417,128
232.38,215,252.3125,244.33008501560107,32417,128
233.41,216,259.3125,245.82832651404098,33315,128
234.55,216,259.3125,245.82832651404098,33315,128
235.57,217,253.015625,246.5470563626369,32512,128
236.57,217,253.015625,246.5470563626369,32512,128
237.59,218,255.46875,247.43922572637322,32822,128
238.60,218,255.46875,247.43922572637322,32822,128
239.63,218,255.46875,247.43922572637322,32822,128
240.70,219,280.7421875,250.7695219037359,36054,128
241.76,219,280.7421875,250.7695219037359,36054,128
242.82,220,258.4375,251.5363197133623,33203,128
243.85,220,258.4375,251.5363197133623,33203,128
244.90,221,262.828125,252.66550024202607,33758,128
